Lname,Fname,Alias,Gender,Age,Color,Day,Month,Year,Date,FullDate,TimelineDate,City,County,State,Children,Literate,Armed,Transportation,Enslaver,Reward,CityState,Long,Lat
Stanly,Josiah,<i>None/Unknown</i>,Male,<i>Unknown</i>,<i>Unknown</i>,17,10,1857,Oct 1857,"October 17, 1857",10/17/1857,null,Bertie County,NC,Yes,No,No,Foot,Governor Badger of North Caroina,<i>None/Unknown</i>,NC,-80.843124,35.782169
Brown,George W.,James White,Male,17,<i>Unknown</i>,8,9,1854,Sept 1854,"Septembert 8, 1854",9/8/1854,null,<i>County Unknown</i>,NC,Yes,No,No,Carriage,Col. John H. Wheeler,<i>None/Unknown</i>,NC,-80.843124,35.782169
Boon,Richmond,<i>None/Unknown</i>,Male,22,<i>Unknown</i>,8,9,1854,Sept 1854,"Septembert 8, 1854",9/8/1854,null,<i>County Unknown</i>,NC,Yes,No,No,Carriage,Col. John H. Wheeler,<i>None/Unknown</i>,NC,-80.843124,35.782169
Jones,Henry,<i>None/Unknown</i>,Male,41,Black,null,null,1859,null 1859,1859,,Sharpsburg,Washington County,MD,Yes,No,No,<i>Unknown</i>,<i>Unknown</i>,<i>None/Unknown</i>,"Sharpsburg, MD",-77.74644,39.45885
Carlisle,William,<i>None/Unknown</i>,Male,<i>Unknown</i>,Black,4,7,1859,Jul 1859,"July 4, 1859",7/4/1859,Haggerstown,Washington County,MD,Yes,No,No,<i>Unknown</i>,Joseph O'Neil,<i>None/Unknown</i>,"Haggerstown, MD",-77.71758,39.6425
Wright Crossroads,Leeds,<i>None/Unknown</i>,Male,<i>Unknown</i>,<i>Unknown</i>,null,null,1857,null 1857,1857,,Hagarstown,Washington County,MD,Yes,No,No,Horseback,George Shaffer,<i>None/Unknown</i>,"Hagarstown, MD",-77.71758,39.6425
Unidentified,<i>Unknown</i>,<i>None/Unknown</i>,<i>Unknown</i>,<i>Unknown</i>,<i>Unknown</i>,null,null,1857,null 1857,1857,,Haggerstown,Washington County,MD,Yes,No,No,Horse & Carriage,<i>Unknown</i>,<i>None/Unknown</i>,"Haggerstown, MD",-77.71758,39.6425
Moody,William Henry,<i>None/Unknown</i>,Male,20,Black,null,null,1857,null 1857,1857,,Haggerstown,Washington County,MD,Yes,No,No,Horse & Carriage,<i>Unknown</i>,<i>None/Unknown</i>,"Haggerstown, MD",-77.71758,39.6425
Hitchens,C.,<i>None/Unknown</i>,Male,22,<i>Unknown</i>,null,null,1857,null 1857,1857,,Haggerstown,Washington County,MD,Yes,No,No,Horse & Carriage,<i>Unknown</i>,<i>None/Unknown</i>,"Haggerstown, MD",-77.71758,39.6425
Rogers,George,<i>None/Unknown</i>,Male,26,Black,null,null,1857,null 1857,1857,,Aldie P.O.,Loudon County,VA,Yes,No,No,<i>Unknown</i>,George Carter,<i>None/Unknown</i>,"Aldie, VA",-77.6513,38.97842
Lee,Ordee,<i>None/Unknown</i>,Female,35,Black,null,null,1857,null 1857,1857,,Aldie P.O.,Loudon County,VA,Yes,No,No,<i>Unknown</i>,George Carter,<i>None/Unknown</i>,"Aldie, VA",-77.6513,38.97842
Pettifoot,John Henry,Sydney,Male,26,Mulatto,null,null,1858,null 1858,1858,,Greensbury,<i>County Unknown</i>,MD,Yes,No,No,<i>Unknown</i>,<i>Unknown</i>,<i>None/Unknown</i>,"Greensbury, MD",-77.56783,39.6842
Taylor,Benjamin,<i>None/Unknown</i>,Male,20,<i>Unknown</i>,null,null,1858,null 1858,1858,,Greensbury,<i>County Unknown</i>,MD,Yes,No,No,<i>Unknown</i>,<i>Unknown</i>,<i>None/Unknown</i>,"Greensbury, MD",-77.56783,39.6842
Brown,James,<i>None/Unknown</i>,Male,<i>Unknown</i>,<i>Unknown</i>,null,null,1859,null 1859,1859,,Leesburg,Loudon County,VA,Yes,No,No,Horse & Carriage,<i>Unknown</i>,<i>None/Unknown</i>,"Leesburg, VA",-77.56578,39.1158
Mitchell,Lemuel,<i>None/Unknown</i>,Male,35,Black,2,2,1858,Feb 1858,"February 2, 1858",2/2/1858,Richmond,Henrico County,VA,Yes,No,No,<i>Unknown</i>,Alexander Royster,<i>None/Unknown</i>,"Richmond, VA",-77.43367,37.54068
Mitchell,John,<i>None/Unknown</i>,Male,24,Black,2,2,1858,Feb 1858,"February 2, 1858",2/2/1858,Richmond,Henrico County,VA,Yes,No,No,<i>Unknown</i>,Alexander Royster,<i>None/Unknown</i>,"Richmond, VA",-77.43367,37.54068
