Lname,Fname,Alias,Gender,Age,Color,Day,Month,Year,Date,FullDate,TimelineDate,City,County,State,Children,Literate,Armed,Transportation,Enslaver,Reward,CityState,Long,Lat
Bivans,<i>Unknown</i>,<i>None/Unknown</i>,Female,<i>Unknown</i>,<i>Unknown</i>,null,null,1857,null 1857,1857,,Savannah,Chatham County,GA,No,No,No,Steamer,<i>Unknown</i>,<i>None/Unknown</i>,"Savannah, GA",-81.09119,32.08091
Moore,Hannah,Aunt Hannah,Female,57,<i>Unknown</i>,null,null,1854,null 1854,1854,,South End,Camden County,NC,No,Yes,No,Schooner,Ann McCourt,<i>None/Unknown</i>,"South End, NC",-80.85764,35.213276
Brooks,Susan,<i>None/Unknown</i>,Female,40,Black,23,4,1854,Apr 1854,"April 23, 1854",4/23/1854,null,<i>County Unknown</i>,NC,No,No,No,Boat,Lewis Brown,<i>None/Unknown</i>,NC,-80.843124,35.782169
Grantham,Nancy,<i>None/Unknown</i>,Female,19,Mulatto,null,null,1858,null 1858,1858,,null,<i>County Unknown</i>,NC,No,No,No,Schooner,<i>Unknown</i>,<i>None/Unknown</i>,NC,-80.843124,35.782169
Cale,Mary,Jane Johnson,Female,16,<i>Unknown</i>,15,11,1854,Nov 1854,"November 15, 1854",11/15/1854,Fayetteville,<i>County Unknown</i>,NC,No,No,No,<i>Unknown</i>,Luke Gaines,<i>None/Unknown</i>,"Fayetteville, NC",-78.87727,35.05534
Mountain,Ann,<i>None/Unknown</i>,Female,22,<i>Unknown</i>,null,null,1858,null 1858,1858,,Cumberland,Alleganey County,MD,No,No,No,Foot,Elivina Duncans,<i>None/Unknown</i>,"Cumberland, MD",-78.76333,39.65177
Haley,Harriet,Ann Richardson,Female,19,<i>Unknown</i>,26,4,1854,Apr 1854,"April 26, 1854",4/26/1854,null,Loudon County,VA,No,No,No,<i>Unknown</i>,Nathan Clapton,<i>None/Unknown</i>,VA,-78.024902,37.926868
Curtis,Mary,<i>None/Unknown</i>,Female,19,Black,10,12,1855,Dec 1855,"December 10, 1855",12/10/1855,null,Rappahannock County,VA,No,No,No,<i>Unknown</i>,John Quantence,$100 ,VA,-78.024902,37.926868
Cornish,Delia,<i>None/Unknown</i>,Female,<i>Unknown</i>,<i>Unknown</i>,11,12,1855,Dec 1855,"December 11, 1855",12/11/1855,null,<i>County Unknown</i>,VA,No,No,No,Foot,Matilda Niles,<i>None/Unknown</i>,VA,-78.024902,37.926868
Jones,Rebecca,<i>None/Unknown</i>,Female,<i>Unknown</i>,<i>Unknown</i>,23,3,1856,Mar 1856,"March 23, 1856",3/23/1856,null,Loudon County,VA,No,No,No,<i>Unknown</i>,Eliza Brooks,<i>None/Unknown</i>,VA,-78.024902,37.926868
Giles,Charlotte,<i>None/Unknown</i>,Female,23,<i>Unknown</i>,31,5,1856,May 1856,"May 31, 1856",5/31/1856,null,Fauguer County,VA,No,No,No,<i>Unknown</i>,William Rose,<i>None/Unknown</i>,VA,-78.024902,37.926868
<i>Unknown</i>,Isabella,<i>None/Unknown</i>,Female,<i>Unknown</i>,<i>Unknown</i>,null,10,1856,Oct 1856,October 1856,,null,<i>County Unknown</i>,VA,No,No,No,<i>Unknown</i>,"John Hatten, Esq.",<i>None/Unknown</i>,VA,-78.024902,37.926868
Forman,Ellen,Elizabeth Young,Female,30,Black,16,5,1854,May 1854,"May 16, 1854",5/16/1854,Hedgesville,Berkeley County,WV,No,No,No,Foot,John Sabbard,<i>None/Unknown</i>,"Hedgesville, WV",-77.99512,39.55387
Ennets,Amanda,<i>None/Unknown</i>,Female,4,<i>Unknown</i>,null,null,1860,null 1860,1860,,Martinsburg,Henry County,WV,No,No,Yes,Foot & Carriage,Philip Pendelton,<i>None/Unknown</i>,"Martinsburg, WV",-77.96477,39.45641
Ennets,Harriet,<i>None/Unknown</i>,Female,6,<i>Unknown</i>,null,null,1860,null 1860,1860,,Martinsburg,Henry County,WV,No,No,Yes,Foot & Carriage,Philip Pendelton,<i>None/Unknown</i>,"Martinsburg, WV",-77.96477,39.45641
Ennets,Maria,<i>None/Unknown</i>,Female,<i>Unknown</i>,<i>Unknown</i>,null,null,1860,null 1860,1860,,Martinsburg,Henry County,WV,No,No,Yes,Foot & Carriage,Philip Pendelton,<i>None/Unknown</i>,"Martinsburg, WV",-77.96477,39.45641
Chion,Emma,<i>None/Unknown</i>,Female,<i>Unknown</i>,<i>Unknown</i>,null,null,1860,null 1860,1860,,Martinsburg,Henry County,WV,No,No,Yes,Foot & Carriage,Phillip Pendelton,<i>None/Unknown</i>,"Martinsburg, WV",-77.96477,39.45641
Smith,Sarah,Mildred Page,Female,30,Black,10,5,1854,May 1854,"May 10, 1854",5/10/1854,Wilmington,New Castle County,NC,No,No,No,<i>Unknown</i>,Mrs. Mary Loren,<i>None/Unknown</i>,"Wilmington, NC",-77.946,34.23497
Roach,Lamby,<i>None/Unknown</i>,Female,<i>Unknown</i>,<i>Unknown</i>,null,null,1859,null 1859,1859,,Sharpsburg,Washington County,MD,No,No,No,<i>Unknown</i>,<i>Unknown</i>,<i>None/Unknown</i>,"Sharpsburg, MD",-77.74644,39.45885
Ennis,Louisa Caroline,Louisa Hemmin,Female,3,<i>Unknown</i>,10,3,1854,Mar 1854,"March 10, 1854",3/10/1854,Harpers Ferry,<i>County Unknown</i>,VA,No,No,No,<i>Unknown</i>,Mrs. Carroll,<i>None/Unknown</i>,"Harpers Ferry, WV",-77.734295,39.325223
Cooper,Mary,<i>None/Unknown</i>,Female,20,Black,null,null,1857,null 1857,1857,,Hagerstown,Washington County,MD,No,No,Yes,<i>Unknown</i>,George Shaffer,<i>None/Unknown</i>,"Hagerstown, MD",-77.71758,39.6425
Davis,Jane,<i>None/Unknown</i>,Female,60-70,<i>Unknown</i>,null,null,1857,null 1857,1857,,Hagerstown,Washington County,MD,No,No,No,Horseback,George Shaffer,<i>None/Unknown</i>,"Hagerstown, MD",-77.71758,39.6425
Johnson,Eliza Jane,<i>None/Unknown</i>,Female,23,Black,null,null,1857,null 1857,1857,,Hagerstown,Washington County,MD,No,No,Yes,Horseback,George Shaffer,<i>None/Unknown</i>,"Hagerstown, MD",-77.71758,39.6425
Paeden,Celia,<i>None/Unknown</i>,Female,<i>Unknown</i>,<i>Unknown</i>,27,3,1853,Mar 1853,"March 27, 1853",3/27/1853,Sandy Hook,Harford County,MD,No,No,No,Foot,James Smithen,<i>None/Unknown</i>,"Sandy Hook, MD",-77.69815,39.32865
Garrett,Lucy,Julia Wood,Female,19,<i>Unknown</i>,12,5,1854,May 1854,"May 12, 1854",5/12/1854,Sandy Hook,Harford County,MD,No,No,No,Foot,William Wheeling,<i>None/Unknown</i>,"Sandy Hook, MD",-77.69815,39.32865
Lee,Ordee,<i>None/Unknown</i>,Female,35,Black,null,null,1857,null 1857,1857,,Aldie P.O.,Loudon County,VA,Yes,No,No,<i>Unknown</i>,George Carter,<i>None/Unknown</i>,"Aldie, VA",-77.6513,38.97842
Amos,Ann Rebecca,Aann Rebecca Johnson,Female,26,<i>Unknown</i>,12,5,1854,May 1854,"May 12, 1854",5/12/1854,Wheldon,Halifax County,NC,No,No,No,<i>Unknown</i>,Richard Smallwood,<i>None/Unknown</i>,"Wheldon, NC",-77.59765,36.42677
Johnson,Anna,<i>None/Unknown</i>,Female,24,Black,null,null,1857,null 1857,1857,,Leesburg,Loudon County,VA,No,No,No,<i>Unknown</i>,Joshua Pussey,<i>None/Unknown</i>,"Leesburg, VA",-77.56578,39.1158
Scott,Jane,<i>None/Unknown</i>,Female,14,Black,3,6,1856,Jun 1856,"June 3, 1856",6/3/1856,Fredericksburg,Spotsylvania County,VA,No,No,No,<i>Unknown</i>,Christian Thomas,<i>None/Unknown</i>,"Fredericksburg, VA",-77.45933,38.30118
Jones,Eliza,<i>None/Unknown</i>,Female,40,Black,2,8,1855,Aug 1855,"August 2, 1855",8/2/1855,Richmond,Henrico County,VA,No,No,No,Foot,Fleming Bibbs,<i>None/Unknown</i>,"Richmond, VA",-77.43367,37.54068
Walters,Mary,<i>None/Unknown</i>,Female,18,<i>Unknown</i>,26,7,1854,Jul 1854,"July 26, 1854",7/26/1854,Richmond,Henrico County,VA,No,No,No,<i>Unknown</i>,"A.A. Mosen, Esq.",<i>None/Unknown</i>,"Richmond, VA",-77.43367,37.54068
Saunders,Sarah,<i>None/Unknown</i>,Female,<i>Unknown</i>,<i>Unknown</i>,4,7,1856,Jul 1856,"July 4, 1856",7/4/1856,Richmond,Henrico County,VA,No,No,No,<i>Unknown</i>,John A. Smith,<i>None/Unknown</i>,"Richmond, VA",-77.43367,37.54068
Amos,Harriet,Mary Jane Johnson,Female,<i>Unknown</i>,Mulatto,12,5,1854,May 1854,"May 12, 1854",5/12/1854,Richmond,Henrico County,VA,No,Yes,No,<i>Unknown</i>,"William H. Christian, Esq.",<i>None/Unknown</i>,"Richmond, VA",-77.43367,37.54068
Mahoney,Matilda,<i>None/Unknown</i>,Female,21,<i>Unknown</i>,24,5,1854,May 1854,"May 24, 1854",5/24/1854,Richmond,Henrico County,VA,No,No,No,Steamer,H.B. Dickinson,<i>None/Unknown</i>,"Richmond, VA",-77.43367,37.54068
Ellis,Mary,Mary Jones,Female,<i>Unknown</i>,<i>Unknown</i>,6,10,1853,Oct 1853,"October 6, 1853",10/6/1853,Richmond,Henrico County,VA,No,Yes,No,Steamer,James Mitchell,<i>None/Unknown</i>,"Richmond, VA",-77.43367,37.54068
Aldridge,Caroline,<i>None/Unknown</i>,Female,23,Mulatto,null,null,1857,null 1857,1857,,Richmond,Henrico County,VA,No,Yes,No,Schooner,George E. Sadler,<i>None/Unknown</i>,"Richmond, VA",-77.43367,37.54068
Fuller,Harriet,<i>None/Unknown</i>,Female,<i>Unknown</i>,<i>Unknown</i>,null,null,1859,null 1859,1859,,Richmond,Henrico County,VA,No,No,No,Steamer,Benjamin Davis,<i>None/Unknown</i>,"Richmond, VA",-77.43367,37.54068
